Produto,Demanda,Saldo,Dias para o fim
CHOCOLATE 70% MP,-0.0016309166666666668,0.2770000000000003,170.0
CHÁ DE HIBISCO EM FOLHAS MP,-0.022869500000000004,1.0264000000000157,45.0
COBERTURA CARAMELO,-0.08418333333333333,1.626999999999974,19.0
COBERTURA DE DOCE DE LEITE,-0.05052083333333332,1.9119999999999973,38.0
COBERTURA DE MORANGO,-0.04346666666666667,2.4039999999999875,55.0
COCA COLA LATA 350 ML,-1.5699999999999998,5.0,3.0
COCA COLA ZERO LATA 350 ML,-1.3808332499999998,9.0,7.0
COFFEE ROAST,-0.027126228383333333,0.9969999999999963,37.0
COLHER DESCARTÁVEL,-1.8238095238095235,-1.4210854715202004e-14,0.0
COOKIE AVELÃ MP,-1.8575,12.0,6.0
COOKIE BANANA MP,-1.6666666666666667,4.0,2.0
COOKIE BELGA MP,-1.8866666666666665,0.0,0.0
COOKIE DUO MP,-1.7459863945578231,0.0,0.0
COOKIE GOTAS TRADICIONAL MP,-2.711333333333333,22.0,8.0
COOKIE LIMÃO MP,-1.29,35.0,27.0
COOKIE NINHO MP,-2.076769,0.0,0.0
COOKIE NUTELLA MP,-1.6940860215053763,2.0,1.0
COOKIE VEGAN MP,-1.0,0.0,0.0
COPO BARBIE,,0.0,0.0
COPO DE PAPEL G,-6.312304166666667,895.0,142.0
COPO DE PAPEL M,-11.75,441.0,38.0
COPO DE PAPEL P,-9.425833333333333,479.0,51.0
COPO DESCARTÁVEL,-4.829166666666666,35.0,7.0
COPO PLÁSTICO G,-12.407581666666665,122.0,10.0
COPO PLÁSTICO P,-7.635980333333333,482.0000000000002,63.0
COXINHA FRANGO,-1.0,0.0,0.0
COXINHA FRANGO E REQUEIJÃO,-1.6424999999999998,0.0,0.0
CROISSANT DE CHOCOLATE MP,-1.2222222222222223,0.0,0.0
CROISSANT DE PERU E PROVOL MP,-1.590215053763441,0.0,0.0
CROISSANT DE PRES. E QUEIJO MP,-1.5326829999999998,29.0,19.0
CROISSANT FRANGO E REQ MP,-1.5887499999999999,0.0,0.0
CROISSANT QUATRO QUEIJOS MP,-1.4635294117647057,4.0,3.0
CÁPSULA GÁS PARA CHANTILLY MP,-1.4734628166666668,130.7999999999837,89.0
DESINFETANTE,,1.0,
DETERGENTE,,3.0,
DONUT RING CHOC MP,-1.0946954545454546,0.0,0.0
DONUT RING DOCE DE LEITE,,1.0,
DONUT RING DOCE DE LEITE MP,-1.0,0.0,0.0
DONUT RING FRUTAS VERM MP,-1.0,0.0,0.0
DONUT RING PRESTIGIO MP,-1.0625,0.0,0.0
EMBALAGEM CAFÉ 100/200 G,-1.736842105263158,4.0,2.0
EMBALAGEM POP SLICE QUADRADA,-1.1818181818181819,0.0,0.0
EMBALAGEM POP SLICE TRIANGULAR,-1.9009677419354838,0.0,0.0
ESFIHA CALABRESA MP,-1.59526325,21.999999999999943,14.0
ESFIHA CARNE MP,-1.9766666666666666,18.0,9.0
ESPONJA,,1.0,
ESPRESSO GO - P,,2.0,
FACA DESCARTÁVEL,-1.25,45.0,36.0
FILTRO PARA COADOR HARIO,-2.0374999999999996,128.0,63.0
FOLHADO DE CAMARÃO,-50.99999999999999,0.0,0.0
FOLHADO DE FRANGO,-1.8808333333333334,-16.0,0.0
FOLHADO PERU QJO MINAS,-1.755,-1.0,0.0
FOLHADO PRESUNTO E QUEIJO,-1.5074999999999998,-13.0,0.0
Filme de PVC,,1.0,
GARFO DESCARTÁVEL,-0.4149583333333333,41.4000000000001,100.0
GO COPA,,0.0,0.0
GO CUP,-1.4,4.0,3.0
GO TOAST LING BLUMENAU MP,-1.4662015503875967,3.0,2.0
GO TOAST NAPOLITANO MP,-1.3295238095238096,24.0,18.0
GO TOAST PERU E REQUEIJAO MP,-1.6733333333333333,29.0,17.0
GO TOAST RICOTA TOMATE SECO MP,-0.9952181818181818,0.0,0.0
GOTAS DE CHOCOLATE,-0.055854666666666664,0.028500000000017067,1.0
GRANOLA MP,,1.0,
GUARANA NORMAL LATA  350 ML,-1.206896551724138,1.0,1.0
GUARDANAPO ENVELOPADO GC,-23.752964166666665,763.2798000000003,32.0
KIT FRAPPE BARBIE,-2.3045,5.684341886080802e-14,0.0
KIT FRAPPE CARNAVAL,-1.5384615384615383,0.0,0.0
KIT FRAPPE HOMEM ARANHA,-1.1111111111111112,0.0,0.0
KIT FRAPPPE MILHO VERDE,,0.0,0.0
