ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Confraternização Universal,Confraternização Universal_lower,Confraternização Universal_upper,Dia Nacional de Zumbi e da Consciência Negra,Dia Nacional de Zumbi e da Consciência Negra_lower,Dia Nacional de Zumbi e da Consciência Negra_upper,Dia do Trabalhador,Dia do Trabalhador_lower,Dia do Trabalhador_upper,Finados,Finados_lower,Finados_upper,Independência do Brasil,Independência do Brasil_lower,Independência do Brasil_upper,Natal,Natal_lower,Natal_upper,Nossa Senhora Aparecida,Nossa Senhora Aparecida_lower,Nossa Senhora Aparecida_upper,Proclamação da República,Proclamação da República_lower,Proclamação da República_upper,Sexta-feira Santa,Sexta-feira Santa_lower,Sexta-feira Santa_upper,Tiradentes,Tiradentes_lower,Tiradentes_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-12,567.062679037037,525.4729213448971,1162.8708581370365,567.062679037037,567.062679037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.8037759601893,280.8037759601893,280.8037759601893,0.0,0.0,0.0,280.8037759601893,280.8037759601893,280.8037759601893,0.0,0.0,0.0,847.8664549972264
2023-01-13,571.0036412207407,526.7860778382693,1144.6415608370287,571.0036412207407,571.0036412207407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.71868363922545,274.71868363922545,274.71868363922545,0.0,0.0,0.0,274.71868363922545,274.71868363922545,274.71868363922545,0.0,0.0,0.0,845.7223248599662
2023-01-14,574.9446034044444,-97.7378686117729,507.0588234813911,574.9446034044444,574.9446034044444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.5642961189154,-389.5642961189154,-389.5642961189154,0.0,0.0,0.0,-389.5642961189154,-389.5642961189154,-389.5642961189154,0.0,0.0,0.0,185.38030728552894
2023-01-15,578.8855655881481,-571.8038451793576,45.368861095421394,578.8855655881481,578.8855655881481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.9723250481895,-854.9723250481895,-854.9723250481895,0.0,0.0,0.0,-854.9723250481895,-854.9723250481895,-854.9723250481895,0.0,0.0,0.0,-276.08675946004143
2023-01-16,582.8265277718518,414.83542189355654,1031.3064084818345,582.8265277718518,582.8265277718518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.16061571521757,164.16061571521757,164.16061571521757,0.0,0.0,0.0,164.16061571521757,164.16061571521757,164.16061571521757,0.0,0.0,0.0,746.9871434870694
2023-01-17,586.7674899555556,548.7429954437272,1157.272477017474,586.7674899555556,586.7674899555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.01507248965873,264.01507248965873,264.01507248965873,0.0,0.0,0.0,264.01507248965873,264.01507248965873,264.01507248965873,0.0,0.0,0.0,850.7825624452144
2023-01-18,590.7084521392592,527.0652876926702,1173.532768146465,590.7084521392592,590.7084521392592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.8384733593241,260.8384733593241,260.8384733593241,0.0,0.0,0.0,260.8384733593241,260.8384733593241,260.8384733593241,0.0,0.0,0.0,851.5469254985833
2023-01-19,594.6494143229629,565.3719301485537,1199.2283229208788,594.6494143229629,594.6494143229629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.80377595963535,280.80377595963535,280.80377595963535,0.0,0.0,0.0,280.80377595963535,280.80377595963535,280.80377595963535,0.0,0.0,0.0,875.4531902825983
2023-01-20,598.5903765066666,559.273392355199,1181.014704452082,598.5903765066666,598.5903765066666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.7186836386494,274.7186836386494,274.7186836386494,0.0,0.0,0.0,274.7186836386494,274.7186836386494,274.7186836386494,0.0,0.0,0.0,873.309060145316
2023-01-21,602.5313386903704,-90.42455277132699,535.177152402305,602.5313386903704,602.5313386903704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.56429611849063,-389.56429611849063,-389.56429611849063,0.0,0.0,0.0,-389.56429611849063,-389.56429611849063,-389.56429611849063,0.0,0.0,0.0,212.96704257187974
2023-01-22,606.472300874074,-567.7726531530332,46.970625695443026,606.472300874074,606.472300874074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.9723250480085,-854.9723250480085,-854.9723250480085,0.0,0.0,0.0,-854.9723250480085,-854.9723250480085,-854.9723250480085,0.0,0.0,0.0,-248.50002417393455
2023-01-23,610.4132630577778,455.38552612658134,1100.6074067788754,610.4132630577778,610.4132630577778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.1606157158499,164.1606157158499,164.1606157158499,0.0,0.0,0.0,164.1606157158499,164.1606157158499,164.1606157158499,0.0,0.0,0.0,774.5738787736277
2023-01-24,614.3542182738686,540.595590559085,1206.7628629304206,614.3542182738686,614.3542182738686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.01507248927135,264.01507248927135,264.01507248927135,0.0,0.0,0.0,264.01507248927135,264.01507248927135,264.01507248927135,0.0,0.0,0.0,878.3692907631399
2023-01-25,618.2951734899593,563.9894323790021,1196.3066647334379,618.2951734899593,618.2951734899593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.8384733598373,260.8384733598373,260.8384733598373,0.0,0.0,0.0,260.8384733598373,260.8384733598373,260.8384733598373,0.0,0.0,0.0,879.1336468497966
2023-01-26,622.2361287060503,565.9573633042822,1254.9856201104394,622.2361287060503,622.2361287060503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.8037759600721,280.8037759600721,280.8037759600721,0.0,0.0,0.0,280.8037759600721,280.8037759600721,280.8037759600721,0.0,0.0,0.0,903.0399046661223
2023-01-27,626.177083922141,574.4195794572686,1225.169578990322,626.177083922141,626.177083922141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.7186836409904,274.7186836409904,274.7186836409904,0.0,0.0,0.0,274.7186836409904,274.7186836409904,274.7186836409904,0.0,0.0,0.0,900.8957675631314
2023-01-28,630.1180391382319,-69.49750325274502,550.9085281015344,630.1180391382319,630.1180391382319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.56429611648736,-389.56429611648736,-389.56429611648736,0.0,0.0,0.0,-389.56429611648736,-389.56429611648736,-389.56429611648736,0.0,0.0,0.0,240.55374302174454
2023-01-29,634.0589943543227,-552.771236369549,90.34903781521082,634.0589943543227,634.0589943543227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.9723250478276,-854.9723250478276,-854.9723250478276,0.0,0.0,0.0,-854.9723250478276,-854.9723250478276,-854.9723250478276,0.0,0.0,0.0,-220.9133306935048
2023-01-30,637.9999495704135,496.41796009289527,1118.2623983926858,637.9999495704135,637.9999495704135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.16061571641126,164.16061571641126,164.16061571641126,0.0,0.0,0.0,164.16061571641126,164.16061571641126,164.16061571641126,0.0,0.0,0.0,802.1605652868247
2023-01-31,641.9409047865043,612.360049203328,1228.803404583292,641.9409047865043,641.9409047865043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0150724892963,264.0150724892963,264.0150724892963,0.0,0.0,0.0,264.0150724892963,264.0150724892963,264.0150724892963,0.0,0.0,0.0,905.9559772758007
2023-02-01,645.8818600025952,608.4175600633617,1216.395288729712,645.8818600025952,645.8818600025952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.83847336005823,260.83847336005823,260.83847336005823,0.0,0.0,0.0,260.83847336005823,260.83847336005823,260.83847336005823,0.0,0.0,0.0,906.7203333626535
2023-02-02,649.8228152186861,625.3096828113719,1226.6516794145682,649.8228152186861,649.8228152186861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.80377596050886,280.80377596050886,280.80377596050886,0.0,0.0,0.0,280.80377596050886,280.80377596050886,280.80377596050886,0.0,0.0,0.0,930.626591179195
2023-02-03,653.7637704347768,614.8839570580627,1244.9476822085323,653.7637704347768,653.7637704347768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.7186836394079,274.7186836394079,274.7186836394079,0.0,0.0,0.0,274.7186836394079,274.7186836394079,274.7186836394079,0.0,0.0,0.0,928.4824540741847
2023-02-04,657.7047256508677,-63.9921599961232,576.4374362582028,657.7047256508677,657.7047256508677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.56429611606245,-389.56429611606245,-389.56429611606245,0.0,0.0,0.0,-389.56429611606245,-389.56429611606245,-389.56429611606245,0.0,0.0,0.0,268.1404295348052
2023-02-05,661.6456808669585,-490.75378868147965,147.7344724243227,661.6456808669585,661.6456808669585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.9723250471699,-854.9723250471699,-854.9723250471699,0.0,0.0,0.0,-854.9723250471699,-854.9723250471699,-854.9723250471699,0.0,0.0,0.0,-193.32664418021136
2023-02-06,665.5866360830493,516.5240402594243,1127.4598670190765,665.5866360830493,665.5866360830493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.16061571700817,164.16061571700817,164.16061571700817,0.0,0.0,0.0,164.16061571700817,164.16061571700817,164.16061571700817,0.0,0.0,0.0,829.7472518000575
2023-02-07,669.5275912991402,611.425958145701,1255.558816957327,669.5275912991402,669.5275912991402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.015072489288,264.015072489288,264.015072489288,0.0,0.0,0.0,264.015072489288,264.015072489288,264.015072489288,0.0,0.0,0.0,933.5426637884282
2023-02-08,673.468546515231,604.5353147251681,1248.4692454165875,673.468546515231,673.468546515231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.83847336057124,260.83847336057124,260.83847336057124,0.0,0.0,0.0,260.83847336057124,260.83847336057124,260.83847336057124,0.0,0.0,0.0,934.3070198758022
2023-02-09,677.4095017313218,655.184501298195,1277.707870726917,677.4095017313218,677.4095017313218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.8037759609457,280.8037759609457,280.8037759609457,0.0,0.0,0.0,280.8037759609457,280.8037759609457,280.8037759609457,0.0,0.0,0.0,958.2132776922675
2023-02-10,681.3504569474127,647.9962011041966,1269.796474282783,681.3504569474127,681.3504569474127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.7186836398384,274.7186836398384,274.7186836398384,0.0,0.0,0.0,274.7186836398384,274.7186836398384,274.7186836398384,0.0,0.0,0.0,956.069140587251
2023-02-11,685.2914121635035,-4.767190440759747,590.720428242968,685.2914121635035,685.2914121635035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.5642961172835,-389.5642961172835,-389.5642961172835,0.0,0.0,0.0,-389.5642961172835,-389.5642961172835,-389.5642961172835,0.0,0.0,0.0,295.72711604622003
2023-02-12,689.2323673795943,-466.4696747278395,172.1124415302167,689.2323673795943,689.2323673795943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.9723250485836,-854.9723250485836,-854.9723250485836,0.0,0.0,0.0,-854.9723250485836,-854.9723250485836,-854.9723250485836,0.0,0.0,0.0,-165.7399576689893
2023-02-13,693.1733225956851,523.8456433699663,1177.7189404294995,693.1733225956851,693.1733225956851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.16061571760497,164.16061571760497,164.16061571760497,0.0,0.0,0.0,164.16061571760497,164.16061571760497,164.16061571760497,0.0,0.0,0.0,857.3339383132901
2023-02-14,697.114277811776,636.5884831781569,1285.8530806854294,697.114277811776,697.114277811776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.01507249013804,264.01507249013804,264.01507249013804,0.0,0.0,0.0,264.01507249013804,264.01507249013804,264.01507249013804,0.0,0.0,0.0,961.129350301914
2023-02-15,699.7853559537928,634.7796964627898,1266.2340261830182,699.7853559537928,699.7853559537928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.8384733595269,260.8384733595269,260.8384733595269,0.0,0.0,0.0,260.8384733595269,260.8384733595269,260.8384733595269,0.0,0.0,0.0,960.6238293133197
2023-02-16,702.4564340958095,657.5928378393272,1272.5235726237565,702.4564340958095,702.4564340958095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.8037759603917,280.8037759603917,280.8037759603917,0.0,0.0,0.0,280.8037759603917,280.8037759603917,280.8037759603917,0.0,0.0,0.0,983.2602100562012
2023-02-17,705.1275122378262,661.5874172376126,1314.533604059995,705.1275122378262,705.1275122378262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.71868363926234,274.71868363926234,274.71868363926234,0.0,0.0,0.0,274.71868363926234,274.71868363926234,274.71868363926234,0.0,0.0,0.0,979.8461958770886
2023-02-18,707.7985903798431,11.575258160422585,649.988947239746,707.7985903798431,707.7985903798431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.56429611850467,-389.56429611850467,-389.56429611850467,0.0,0.0,0.0,-389.56429611850467,-389.56429611850467,-389.56429611850467,0.0,0.0,0.0,318.2342942613384
2023-02-19,710.4696685218598,-456.3900225443532,173.90581335015585,710.4696685218598,710.4696685218598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.972325047926,-854.972325047926,-854.972325047926,0.0,0.0,0.0,-854.972325047926,-854.972325047926,-854.972325047926,0.0,0.0,0.0,-144.50265652606618
