date,material,price,disc,freight,icms_st,difal,ipi,total,qty,unit_price,unit_cost,surcharge,year_month
2022-09-09,Leite de aveia,142.8,0.0,0.0,0.0,0.0,0.0,142.8,12000.0,0.0119,0.0119,0.0,2022-09
2022-09-10,Marshmallow,7.69,0.0,0.0,0.0,0.0,0.0,7.69,250.0,0.030760000000000003,0.030760000000000003,0.0,2022-09
2022-09-10,Mel de abelha,46.0,0.0,0.0,0.0,0.0,0.0,46.0,1000.0,0.046,0.046,0.0,2022-09
2023-03-21,Saco para salgados,30.6,1.53,11.0,0.0,0.0,0.0,40.07,500.0,0.061200000000000004,0.08014,0.30947712418300655,2023-03
2023-02-07,Café em grão,975.0,0.0,75.0,0.0,63.0,0.0,1113.0,15000.0,0.065,0.0742,0.1415384615384616,2023-02
2023-03-09,Esfiha de calabresa,214.05,0.0,0.0,0.0,0.0,0.0,214.05,60.0,3.5675000000000003,3.5675000000000003,0.0,2023-03
2023-03-09,Esfiha de carne,214.05,0.0,0.0,0.0,0.0,0.0,214.05,60.0,3.5675000000000003,3.5675000000000003,0.0,2023-03
2023-01-13,Gás NO2,335.9,0.0,0.0,0.0,0.0,0.0,335.9,100.0,3.359,3.359,0.0,2023-01
2023-02-12,Gás NO2,389.89,0.0,0.0,0.0,0.0,0.0,389.89,100.0,3.8989,3.8989,0.0,2023-02
2023-03-08,Água sem gás,39.6,0.0,0.0,0.0,0.0,0.0,39.6,12000.0,0.0033,0.0033,0.0,2023-03
2023-03-08,Água com gás,42.0,0.0,0.0,0.0,0.0,0.0,42.0,12000.0,0.0035,0.0035,0.0,2023-03
2023-06-21,Esfiha de calabresa,142.7,0.0,0.0,0.0,0.0,0.0,142.7,40.0,3.5675,3.5675,0.0,2023-06
2023-06-21,Esfiha de carne,142.7,0.0,0.0,0.0,0.0,0.0,142.7,40.0,3.5675,3.5675,0.0,2023-06
2023-06-21,Pão de batata de requeijão,71.35,0.0,0.0,0.0,0.0,0.0,71.35,20.0,3.5675,3.5675,0.0,2023-06
2023-06-21,Baguete integral de brócolis,119.73,0.0,0.0,0.0,0.0,0.0,119.73,30.0,3.991,3.991,0.0,2023-06
2022-09-10,Canela em pó,24.9,0.0,0.0,0.0,0.0,0.0,24.9,1000.0,0.0249,0.0249,0.0,2022-09
2023-03-28,Xarope limão siciliano,172.0,0.0,17.2,0.0,11.35,0.0,200.54999999999998,4000.0,0.043,0.050137499999999995,0.16598837209302308,2023-03
2023-03-28,Xarope banana,86.0,0.0,8.6,0.0,5.68,0.0,100.28,2000.0,0.043,0.050140000000000004,0.16604651162790707,2023-03
2023-03-28,Xarope baunilha,129.0,0.0,12.9,0.0,8.51,0.0,150.41,3000.0,0.043,0.05013666666666666,0.16596899224806205,2023-03
2023-03-28,Xarope caramel,172.0,0.0,17.2,0.0,11.35,0.0,200.54999999999998,4000.0,0.043,0.050137499999999995,0.16598837209302308,2023-03
2023-03-28,Xarope caramel salgado,129.0,0.0,12.9,0.0,8.51,0.0,150.41,3000.0,0.043,0.05013666666666666,0.16596899224806205,2023-03
2023-03-28,Xarope morango,172.0,0.0,17.2,0.0,11.35,0.0,200.54999999999998,4000.0,0.043,0.050137499999999995,0.16598837209302308,2023-03
2023-03-28,Xarope matte,129.0,0.0,12.9,0.0,8.51,0.0,150.41,3000.0,0.043,0.05013666666666666,0.16596899224806205,2023-03
