Produto,Lista,Embalagem,Descontinuado,Unidade,Lead,Período,Segurança,Preço
DONUT RING DOCE DE LEITE MP,Atacadão Diniz,24.0,Sim,Unidade,,,,
DONUT RING FRUTAS VERM MP,Atacadão Diniz,24.0,Sim,Unidade,,,,
DONUT RING PRESTIGIO MP,Atacadão Diniz,24.0,Sim,Unidade,,,,
EMBALAGEM CAFÉ 100/200 G,Go Coffee Secos,1.0,Não,Unidade,5.0,7.0,0.0,3.5
EMBALAGEM POP SLICE QUADRADA,Go Coffee Secos,50.0,Sim,Unidade,5.0,7.0,0.0,
EMBALAGEM POP SLICE TRIANGULAR,Go Coffee Secos,200.0,Sim,Unidade,5.0,7.0,0.0,210.0
ESFIHA CALABRESA MP,Uai Salgados,20.0,Não,Unidade,1.0,7.0,3.0,71.35
ESFIHA CARNE MP,Uai Salgados,20.0,Não,Unidade,1.0,7.0,3.0,71.35
FILTRO PARA COADOR HARIO,Lista da semana,,Não,,3.0,7.0,,
FOLHADO DE FRANGO,Forno de Minas,27.0,Não,Un,3.0,7.0,0.0,128.01
FOLHADO PERU QJO MINAS,Forno de Minas,27.0,Não,Un,3.0,7.0,0.0,128.01
FOLHADO PRESUNTO E QUEIJO,Forno de Minas,27.0,Não,Un,3.0,7.0,0.0,128.01
GARFO DESCARTÁVEL,,,Não,,,,,
GO CUP,Go Coffee Secos,1.0,Não,Un,5.0,7.0,0.0,7.0
GO TOAST LING BLUMENAU MP,Go Coffee Congelados,10.0,Não,Un,9.0,28.0,0.0,54.47
GO TOAST NAPOLITANO MP,Go Coffee Congelados,10.0,Não,Un,9.0,28.0,0.0,57.59
GO TOAST PERU E REQUEIJAO MP,Go Coffee Congelados,10.0,Não,Un,9.0,28.0,0.0,68.28
GOTAS DE CHOCOLATE,Lista da semana,,Não,,3.0,7.0,,
GUARANA NORMAL LATA 350 ML,RR Distribuidora,,Não,,1.0,1.0,0.0,
GUARDANAPO ENVELOPADO GC,Maxirep,,Não,Un,7.0,28.0,15.0,
CHÁ DE HIBISCO EM FOLHAS MP,Lista da semana,,Não,,3.0,7.0,,
KIT FRAPPE BARBIE,Go Coffee Secos,1.0,Sim,Un,5.0,7.0,0.0,
KIT FRAPPE HOMEM ARANHA,Go Coffee Secos,1.0,Sim,Un,5.0,7.0,0.0,
KIT FRAPPPE MILHO VERDE,Go Coffee Secos,1.0,Sim,Un,5.0,7.0,0.0,
LEITE DE AVEIA,,,Não,,,,,
LEITE DE SOJA,,,Não,,,,,
LEITE INTEGRAL,Frubana,12.0,Não,L,2.0,7.0,3.0,49.2
LEITE ZERO LACTOSE,,,Não,,,,,
LUVA PARA COPO,Maxirep,,Não,Un,7.0,28.0,0.0,
MARSHMALLOW,Lista da semana,,Não,,3.0,7.0,,
MARSHMALLOW TORÇÃO,,,Não,,,,,
MEL DE ABELHA,Lista da semana,,Não,,3.0,7.0,,
MEXEDOR DE MADEIRA,Lista da semana,,Não,,3.0,7.0,,
MINI DONUTS CHOC MP,,,Não,,,,,
MINI DONUTS DOCE DE LEITE MP,,,Não,,,,,
MINI DONUTS FRUTAS VERM MP,,,Não,,,,,
MINI PAO DE QUEIJO MP,,,Não,,,,,
